[0] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2923312553, 'fix_type': 3, 'lat': 462865373, 'lon': 213863903, 'alt': 128700, 'eph': 190, 'epv': 283, 'vel': 14, 'cog': 11050, 'satellites_visible': 11, 'alt_ellipsoid': 0, 'h_acc': 1900, 'v_acc': 2830, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[23] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2935892739, 'fix_type': 3, 'lat': 462865408, 'lon': 213863842, 'alt': 126680, 'eph': 220, 'epv': 297, 'vel': 15, 'cog': 28060, 'satellites_visible': 8, 'alt_ellipsoid': 0, 'h_acc': 2200, 'v_acc': 2970, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[24] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2936416491, 'fix_type': 3, 'lat': 462865418, 'lon': 213863838, 'alt': 126510, 'eph': 226, 'epv': 297, 'vel': 18, 'cog': 28060, 'satellites_visible': 9, 'alt_ellipsoid': 0, 'h_acc': 2260, 'v_acc': 2970, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[25] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2936940938, 'fix_type': 3, 'lat': 462865420, 'lon': 213863810, 'alt': 125740, 'eph': 228, 'epv': 289, 'vel': 9, 'cog': 28060, 'satellites_visible': 9, 'alt_ellipsoid': 0, 'h_acc': 2280, 'v_acc': 2890, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[26] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2937465240, 'fix_type': 3, 'lat': 462865405, 'lon': 213863807, 'alt': 125640, 'eph': 231, 'epv': 290, 'vel': 22, 'cog': 28060, 'satellites_visible': 10, 'alt_ellipsoid': 0, 'h_acc': 2310, 'v_acc': 2900, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[27] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2937990076, 'fix_type': 3, 'lat': 462865405, 'lon': 213863812, 'alt': 125650, 'eph': 232, 'epv': 292, 'vel': 11, 'cog': 28060, 'satellites_visible': 10, 'alt_ellipsoid': 0, 'h_acc': 2320, 'v_acc': 2920, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[28] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2938514078, 'fix_type': 3, 'lat': 462865390, 'lon': 213863810, 'alt': 125500, 'eph': 230, 'epv': 293, 'vel': 28, 'cog': 28060, 'satellites_visible': 9, 'alt_ellipsoid': 0, 'h_acc': 2300, 'v_acc': 2930, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[29] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2939038249, 'fix_type': 3, 'lat': 462865395, 'lon': 213863829, 'alt': 125310, 'eph': 234, 'epv': 300, 'vel': 46, 'cog': 28060, 'satellites_visible': 9, 'alt_ellipsoid': 0, 'h_acc': 2340, 'v_acc': 3000, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[30] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2939561402, 'fix_type': 3, 'lat': 462865391, 'lon': 213863851, 'alt': 125170, 'eph': 234, 'epv': 303, 'vel': 39, 'cog': 28060, 'satellites_visible': 9, 'alt_ellipsoid': 0, 'h_acc': 2340, 'v_acc': 3030, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[31] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2940086038, 'fix_type': 3, 'lat': 462865390, 'lon': 213863860, 'alt': 124850, 'eph': 232, 'epv': 301, 'vel': 3, 'cog': 28060, 'satellites_visible': 9, 'alt_ellipsoid': 0, 'h_acc': 2320, 'v_acc': 3010, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[32] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2940610684, 'fix_type': 3, 'lat': 462865383, 'lon': 213863848, 'alt': 124630, 'eph': 230, 'epv': 296, 'vel': 22, 'cog': 28060, 'satellites_visible': 9, 'alt_ellipsoid': 0, 'h_acc': 2300, 'v_acc': 2960, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[33] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2941134522, 'fix_type': 3, 'lat': 462865397, 'lon': 213863848, 'alt': 124340, 'eph': 226, 'epv': 292, 'vel': 33, 'cog': 28060, 'satellites_visible': 9, 'alt_ellipsoid': 0, 'h_acc': 2260, 'v_acc': 2920, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[34] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2941659373, 'fix_type': 3, 'lat': 462865398, 'lon': 213863865, 'alt': 124050, 'eph': 224, 'epv': 290, 'vel': 40, 'cog': 34810, 'satellites_visible': 9, 'alt_ellipsoid': 0, 'h_acc': 2240, 'v_acc': 2900, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[35] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2942183840, 'fix_type': 3, 'lat': 462865373, 'lon': 213863879, 'alt': 124070, 'eph': 225, 'epv': 288, 'vel': 50, 'cog': 11730, 'satellites_visible': 9, 'alt_ellipsoid': 0, 'h_acc': 2250, 'v_acc': 2880, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[36] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2942707140, 'fix_type': 3, 'lat': 462865425, 'lon': 213863898, 'alt': 123930, 'eph': 232, 'epv': 290, 'vel': 140, 'cog': 2370, 'satellites_visible': 9, 'alt_ellipsoid': 0, 'h_acc': 2320, 'v_acc': 2900, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[37] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2943230511, 'fix_type': 3, 'lat': 462865424, 'lon': 213863916, 'alt': 123910, 'eph': 238, 'epv': 292, 'vel': 45, 'cog': 2070, 'satellites_visible': 9, 'alt_ellipsoid': 0, 'h_acc': 2380, 'v_acc': 2920, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[38] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2943755306, 'fix_type': 3, 'lat': 462865428, 'lon': 213863932, 'alt': 123690, 'eph': 245, 'epv': 291, 'vel': 19, 'cog': 2070, 'satellites_visible': 10, 'alt_ellipsoid': 0, 'h_acc': 2450, 'v_acc': 2910, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[39] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2944279139, 'fix_type': 3, 'lat': 462865391, 'lon': 213863966, 'alt': 123520, 'eph': 251, 'epv': 293, 'vel': 58, 'cog': 8280, 'satellites_visible': 10, 'alt_ellipsoid': 0, 'h_acc': 2510, 'v_acc': 2930, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[40] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2944804006, 'fix_type': 3, 'lat': 462865394, 'lon': 213863995, 'alt': 123620, 'eph': 253, 'epv': 292, 'vel': 40, 'cog': 8280, 'satellites_visible': 10, 'alt_ellipsoid': 0, 'h_acc': 2530, 'v_acc': 2920, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[41] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2945328612, 'fix_type': 3, 'lat': 462865355, 'lon': 213864014, 'alt': 123380, 'eph': 258, 'epv': 296, 'vel': 61, 'cog': 14870, 'satellites_visible': 9, 'alt_ellipsoid': 0, 'h_acc': 2580, 'v_acc': 2960, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[42] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2945851316, 'fix_type': 3, 'lat': 462865350, 'lon': 213864010, 'alt': 123150, 'eph': 259, 'epv': 298, 'vel': 24, 'cog': 15720, 'satellites_visible': 10, 'alt_ellipsoid': 0, 'h_acc': 2590, 'v_acc': 2980, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[43] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2946376283, 'fix_type': 3, 'lat': 462865336, 'lon': 213864040, 'alt': 122990, 'eph': 262, 'epv': 301, 'vel': 64, 'cog': 14940, 'satellites_visible': 10, 'alt_ellipsoid': 0, 'h_acc': 2620, 'v_acc': 3010, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[44] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2947424474, 'fix_type': 3, 'lat': 462865282, 'lon': 213864128, 'alt': 122950, 'eph': 260, 'epv': 304, 'vel': 69, 'cog': 13040, 'satellites_visible': 11, 'alt_ellipsoid': 0, 'h_acc': 2600, 'v_acc': 3040, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[45] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2947949223, 'fix_type': 3, 'lat': 462865264, 'lon': 213864191, 'alt': 122690, 'eph': 258, 'epv': 303, 'vel': 99, 'cog': 12530, 'satellites_visible': 11, 'alt_ellipsoid': 0, 'h_acc': 2580, 'v_acc': 3030, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[46] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2948473838, 'fix_type': 3, 'lat': 462865247, 'lon': 213864246, 'alt': 122660, 'eph': 257, 'epv': 302, 'vel': 68, 'cog': 11480, 'satellites_visible': 12, 'alt_ellipsoid': 0, 'h_acc': 2570, 'v_acc': 3020, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[47] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2948999139, 'fix_type': 3, 'lat': 462865244, 'lon': 213864268, 'alt': 122380, 'eph': 254, 'epv': 301, 'vel': 51, 'cog': 12010, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 2540, 'v_acc': 3010, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[48] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2949524277, 'fix_type': 3, 'lat': 462865217, 'lon': 213864320, 'alt': 122270, 'eph': 251, 'epv': 300, 'vel': 86, 'cog': 12740, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 2510, 'v_acc': 3000, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[49] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2950048981, 'fix_type': 3, 'lat': 462865204, 'lon': 213864354, 'alt': 122200, 'eph': 250, 'epv': 300, 'vel': 74, 'cog': 12330, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 2500, 'v_acc': 3000, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[50] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2950573050, 'fix_type': 3, 'lat': 462865181, 'lon': 213864385, 'alt': 121980, 'eph': 248, 'epv': 300, 'vel': 35, 'cog': 12870, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 2480, 'v_acc': 3000, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[51] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2951097174, 'fix_type': 3, 'lat': 462865154, 'lon': 213864435, 'alt': 122110, 'eph': 248, 'epv': 302, 'vel': 99, 'cog': 12840, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 2480, 'v_acc': 3020, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[52] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2951622018, 'fix_type': 3, 'lat': 462865132, 'lon': 213864479, 'alt': 122280, 'eph': 248, 'epv': 303, 'vel': 110, 'cog': 12660, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 2480, 'v_acc': 3030, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[53] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2952146571, 'fix_type': 3, 'lat': 462865111, 'lon': 213864526, 'alt': 122160, 'eph': 248, 'epv': 305, 'vel': 93, 'cog': 12350, 'satellites_visible': 12, 'alt_ellipsoid': 0, 'h_acc': 2480, 'v_acc': 3050, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[54] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2952670571, 'fix_type': 3, 'lat': 462865082, 'lon': 213864557, 'alt': 122370, 'eph': 247, 'epv': 305, 'vel': 67, 'cog': 14070, 'satellites_visible': 12, 'alt_ellipsoid': 0, 'h_acc': 2470, 'v_acc': 3050, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[55] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2953194167, 'fix_type': 3, 'lat': 462865067, 'lon': 213864597, 'alt': 122110, 'eph': 247, 'epv': 307, 'vel': 69, 'cog': 12130, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 2470, 'v_acc': 3070, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[56] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2953718637, 'fix_type': 3, 'lat': 462865052, 'lon': 213864648, 'alt': 121900, 'eph': 249, 'epv': 310, 'vel': 53, 'cog': 10700, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 2490, 'v_acc': 3100, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[57] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2954243131, 'fix_type': 3, 'lat': 462865043, 'lon': 213864679, 'alt': 121740, 'eph': 250, 'epv': 310, 'vel': 62, 'cog': 11580, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 2500, 'v_acc': 3100, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[58] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2954766054, 'fix_type': 3, 'lat': 462865027, 'lon': 213864728, 'alt': 121450, 'eph': 252, 'epv': 309, 'vel': 98, 'cog': 12530, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 2520, 'v_acc': 3090, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[59] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2955289496, 'fix_type': 3, 'lat': 462865034, 'lon': 213864743, 'alt': 121170, 'eph': 252, 'epv': 307, 'vel': 99, 'cog': 12090, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 2520, 'v_acc': 3070, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[60] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2955813663, 'fix_type': 3, 'lat': 462865012, 'lon': 213864792, 'alt': 120940, 'eph': 251, 'epv': 306, 'vel': 59, 'cog': 11690, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 2510, 'v_acc': 3060, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[61] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2956338353, 'fix_type': 3, 'lat': 462864996, 'lon': 213864807, 'alt': 120680, 'eph': 248, 'epv': 304, 'vel': 45, 'cog': 12440, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 2480, 'v_acc': 3040, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[62] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2956861542, 'fix_type': 3, 'lat': 462864984, 'lon': 213864840, 'alt': 120640, 'eph': 247, 'epv': 304, 'vel': 39, 'cog': 12030, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 2470, 'v_acc': 3040, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[63] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2957386473, 'fix_type': 3, 'lat': 462864977, 'lon': 213864880, 'alt': 120370, 'eph': 247, 'epv': 304, 'vel': 52, 'cog': 12030, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 2470, 'v_acc': 3040, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[64] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2957910933, 'fix_type': 3, 'lat': 462864968, 'lon': 213864928, 'alt': 120640, 'eph': 247, 'epv': 300, 'vel': 30, 'cog': 12030, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 2470, 'v_acc': 3000, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[65] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2958436109, 'fix_type': 3, 'lat': 462864947, 'lon': 213864963, 'alt': 121080, 'eph': 247, 'epv': 296, 'vel': 51, 'cog': 13290, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 2470, 'v_acc': 2960, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[66] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2958959550, 'fix_type': 3, 'lat': 462864933, 'lon': 213865020, 'alt': 121620, 'eph': 246, 'epv': 292, 'vel': 9, 'cog': 12750, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 2460, 'v_acc': 2920, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
